NAMA PAKET,TAHUN,JENIS INFRASTRUKTUR,Latitude,Longitude
KAJIAN TEKNIS TERHADAP DESAIN EMBUNG TAMBAKBOYO,2007,Embung,-7.756055945,110.4149986
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU,2006,Embung,-8.005156733,110.4192116
DD EMBUNG SALAM ,2012,Embung,-7.914457645,110.4500813
PENYUSUNAN DOKUMEN LINGUNGAN HIDUP EMBUNG ,2014,Embung,-7.91049689,110.451537
PENGUKURAN EMBUNG BADUT DAN  PETIT DI KABUPATEN GUNUNGKIDUL.,2007,Embung,-7.854018543,110.4701966
PENYUSUNAN DESAIN REHAB EMBUNG BADUT DAN PETIT DI KABUPATEN GUNUNGKIDUL,2008,Embung,-7.854018543,110.4701966
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU,2006,Embung,-8.083717663,110.5689176
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU PEDESAAN (5 UNIT EMBUNG) DI KABUPATEN GUNUNGKIDUL DAN KULOPROGO D I YOGYAKARTA ,2005,Embung,-8.063687516,110.5786602
PERENCANAAN PENYEDIAAN AIR BAKU (5 UNIT EMBUNG) DI KABUPATEN GUNUNGKIDUL DAN KULONPROGO PROPINSI DAERAH ISTIMEWA YOGYAKARTA,2007,Embung,-7.889037798,110.6045738
STUDI KELAYAKAN DAN PRA DESAIN JARINGAN PEMANFAATAN EMBUNG DUNGWUNI ,2012,Embung,-7.986298237,110.6080365
PEKERJAAN SID EMBUNG SULUR KEMEJING KABUPATEN GUNUNGKIDUL,2006,Embung,-7.846434344,110.6838446
PEKERJAAN SID EMBUNG SULUR KEMEJING KABUPATEN GUNUNGKIDUL,2006,Embung,-7.850921156,110.6927535
PEKERJAAN SID EMBUNG SULUR KEMEJING KABUPATEN GUNUNGKIDUL,2006,Embung,-7.874140499,110.6994114
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU PEDESAAN (5 UNIT EMBUNG) DI KABUPATEN GUNUNGKIDUL DAN KULOPROGO D I YOGYAKARTA ,2005,Embung,-8.151718533,110.7128987
PEKERJAAN PERENCANAAN PENYEDIAAN AIR BAKU,2006,Embung,-8.149285335,110.7420872
PEKERJAAN SID EMBUNG PAKEL KABUPATEN GUNUNG KIDUL,2004,Embung,-7.869397076,110.7688161
STUDI KELAYAKAN PRA DESAIN AIR BAKU EMBUNG TAMBAKROMO,2012,Embung,-7.939972495,110.7703818
DETAIL DESAIN EMBUNG WS POS,2020,Embung,-7.552,110.357
EMBUNG WS POS,2021,Embung,-7.599,110.424
DED EMBUNG WS SERAYU BOGOWONTO DAN WS PROGO OPAK SERANG (KLAPAGADING KULON),2022,Embung,-7.515278,109.059722
DED EMBUNG WS SERAYU BOGOWONTO DAN WS PROGO OPAK SERANG (KARANG NANGKA),2022,Embung,-7.633306,109.369889
"PEKERJAAN REVIEW DESAIN TELAGA MERDADA, DESAIN TELAGA SITERUS DAN NORMALISASI SUNGAI TULIS",2008,Embung,-7.20894,109.8918
LAPORAN EMBUNG DIENG,2023,Embung,-7.215109,109.91241
STUDI POTENSI BANG PENAMPUNG AIR SERBOG,2017,Embung,-7.7138,110.01
DETAIL DESAIN EMBUNG/TELAGA WS SERAYU–BOGOWONTO,2019,Embung,-7.89889,110.03056
EMBUNG WS SERBOG,2020,Embung,-7.89889,110.03056
DED EMBUNG WS SERAYU BOGOWONTO DAN WS PROGO OPAK SERANG (SABO DAM PAKUNDEN),2022,Embung,-7.6725,110.27917
DETAIL DESAIN EMBUNG/TELAGA WS PROGO OPAK SERANG,2019,Embung,-7.721135,110.280313
DD EMBUNG KONSERVASI WS POS,2017,Embung,-7.327205,110.33396
DD EMBUNG WS POS,2018,Embung,-7.7956,110.3695
DETAIL DESAIN EMBUNG GIWANGAN,2018,Embung,-7.8326,110.3894
DED EMBUNG WS SERAYU BOGOWONTO DAN WS PROGO OPAK SERANG (DUSUN NAWUNGAN),2022,Embung,-7.955517,110.413091
EMBUNG WS SERBOG,2021,Embung,-7.625667,110.421167
DETAIL DESAIN EMBUNG PIAT UGM,2020,Embung,-7.797227,110.464147
DD EMBUNG SEMANU,2021,Embung,-8.0167,110.646
DD EMBUNG DAS SERAYU ,2010,Embung ,-7.415886293,109.0408833
DD JARINGAN PEMANFAATAN EMBUNG KAB. BANYUMAS ,2011,Embung ,-7.464867169,109.0618507
DD EMBUNG BANYUMAS ,2011,Embung ,-7.328602064,109.2445884
DD EMBUNG WS SERBOG ,2014,Embung ,-7.51419642,109.267831
DD EMBUNG DAS BOGOWONTO ,2010,Embung ,-7.809037705,110.0118629
DD EMBUNG TELAGA WS POS DAN SERBOG 2013 ,2013,Embung ,-7.603176055,110.0198316
UKL DAN UPL EMBUNG DI WILAYAH SUNGAI PROGO OPAK SERANG ,2011,Embung ,-7.807917815,110.1422339
UKL DAN UPL EMBUNG DI WILAYAH SUNGAI PROGO OPAK SERANG ,2011,Embung ,-7.824656338,110.2144518
PERENCANAAN REHABILITASI E WS POS 2010,2010,Embung ,-7.722457299,110.2264182
DD REHABILITASI EMBUNG WS PROGO OPAK   ,2010,Embung ,-7.722973251,110.23072
EMBUNG KOMUNAL ,2010,Embung ,-7.78650556,110.3814889
DESAIN REHABILITASI EMBUNG TELAGA WS POS ,2014,Embung ,-7.729283822,110.4101234
UKL DAN UPL EMBUNG DI WILAYAH SUNGAI PROGO OPAK SERANG ,2011,Embung ,-7.907200294,110.6532916
STUDI POTENSI BANGUNAN PENAMPUNG AIR KAYANGAN ,2014,Embung,-7.745101535,110.1807125
DESAIN PENATAAN BANGUNAN TAMPUNGAN AIR RAWA BENDUNGAN,2020,Embung,-7.665975,109.049331
DESAIN REHABILITASI GEDUNG UPB BBWS SERAYU OPAK ,2021,Gedung,-7.824,110.121
DETAIL DESAIN GROUNDSILL KALI LOGAWA DAN TAJUM,2008,Groundsill,-7.550499336,109.1665942
DETAIL DESAIN GROUNDSILL KALI LOGAWA DAN TAJUM,2008,Groundsill,-7.493471773,109.2173981
GROUNDSILL PRAMBANAN,2021,Groundsill,-7.662,110.461
SURVEI DAN IDENTIFIKASI SARANA DAN PRASARANA SDA  WILAYAH SUNGAI SERAYU OPAK ,2009,Prasarana Sungai,-7.883475959,110.3890488
DETAIL DESAIN PENGEMBANGAN IRIGASI DIY 250 HA,2008,Irigasi,-7.88667072,110.3140695
LAPORAN BUTUH KEDUNGGUPIT ,-,Irigasi,-7.661068252,109.8228113
PAI WS SERAYU OPAK ,2011,Irigasi,-7.481716977,109.0659946
PENYUSUNAN DOKUMEN LINGKUNGAN HIDUP PENINGKATAN DI SLINGA ,2015,Irigasi,-7.351890362,109.3844214
REVIEW DESAIN DAN LARAP PENINGKATAN DI. SLINGA,2022,Irigasi,-7.366,109.434
DD REHAB DI SEMPOR ,2015,Irigasi,-7.558561819,109.4843114
DD BANGUNAN PENGELAK DAN JARINGAN PEMANFAATAN BD. MAUNG ,2016,Irigasi,-7.363745792,109.7346099
PERENCANAAN REHABILITASI D.I. SINGOMERTO TAHAP I,2009,Irigasi,-7.388664483,109.7426971
PENYUSUNAN DLH LARAP DI BEDEGOLAN ,2015,Irigasi,-7.676664574,109.7740801
REVIEW DESAIN PENINGKATAN DI BEDEGOLAN ,2015,Irigasi,-7.675598611,109.7748252
LARAP AMDAL JARINGAN IRIGASI BENDUNGAN BENER ,2015,Irigasi,-7.605138186,110.0214552
PEKERJAAN DETAIL DESAIN KONSTRUKSI PENGAMAN SALURAN INDUK KALIBAWANG KABUPATEN KULON PROGO ,2003,Irigasi,-7.65867383,110.1464352
SURVEI INVESTIGASI DAN DESAIN JARINGAN IRIGASI DI TAWANG,2003,Irigasi,-7.803258624,110.180278
PERENCANAAN PEMBANGUNAN JARINGAN IRIGASI D.I. BANARAN DI KABUPATEN KULON PROGO DENGAN SISTEM POMPA,2005,Irigasi,-7.972758629,110.2005641
PEKERJAAN IDENTIFIKASI DAN INVENTARISASI DAERAH IRIGASI KAB. SLEMAN DAN KAB. KULON PROGO PROPINSI DIY,2005,Irigasi,-7.715345022,110.221465
PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN SLEMAN,2005,Irigasi,-7.727782381,110.2241167
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI D.I PULUHAN CS    200 HA,2006,Irigasi,-7.768107292,110.2395196
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI D.I. MADEAN KABUPATEN SLEMAN,2006,Irigasi,-7.76981373,110.2453348
PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN SLEMAN,2005,Irigasi,-7.769653679,110.2492902
PEKERJAAN PERHITUNGAN KEHILANGAN AIR KALIBAWANG,2006,Irigasi,-7.649185766,110.2511451
STUDI KEBUTUHAN OP JARINGAN IRIGASI   DIY,2006,Irigasi,-7.649185766,110.2511451
PERENCANAAN REHABILITASI SALURAN INDUK KALI BAWANG,2006,Irigasi,-7.649185766,110.2511451
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-7.965797234,110.2609452
PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN SLEMAN,2005,Irigasi,-7.819444401,110.2660089
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI D.I. MADEAN KABUPATEN SLEMAN,2006,Irigasi,-7.807845585,110.2753443
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI D.I. MADEAN KABUPATEN SLEMAN,2006,Irigasi,-7.799138066,110.2760414
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-7.982845375,110.2795617
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-7.96113811,110.2850887
PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN SLEMAN,2005,Irigasi,-7.722159691,110.2913599
STUDI KEBUTUHAN OP JARINGAN IRIGASI   DIY,2006,Irigasi,-7.898746671,110.2979722
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-7.990935173,110.3097921
IDENTIFIKASI DAN INVENTARISASI DAERAH IRIGASI KABUPATEN BANTUL DAN GUNUNG KIDUL,2006,Irigasi,-7.88165372,110.3121628
PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN SLEMAN,2005,Irigasi,-7.77050868,110.3137337
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-8.005959229,110.3164427
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGSI D.I PULOWATU DAN D.I PATUK,2005,Irigasi,-7.660001993,110.3207971
PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN SLEMAN,2005,Irigasi,-7.730059136,110.3512187
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-7.870485802,110.3566392
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-7.848791537,110.3590393
PEKERJAAN SID D.I. PANDOWOHARJO KABUPATEN SLEMAN 200 HA.,2006,Irigasi,-7.687792088,110.3721223
STUDI KEBUTUHAN OP JARINGAN IRIGASI   DIY,2006,Irigasi,-7.766127987,110.379755
DETAIL DESAIN DRAINASE SALURAN INDUK MATARAM 5.346 HA,2006,Irigasi,-7.766198363,110.3799728
PEKERJAAN SURVEI INVESTIGASI DAN DESAIN JARINGAN IRIGASI  (SID) D.I. MRICAN,2004,Irigasi,-7.830609518,110.394244
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-7.867223859,110.3978504
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI D.I. SIDORAHARJO CS KABUPATEN BANTUL,2005,Irigasi,-7.910196678,110.3990057
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-7.868305137,110.4004589
PEKERJAAN IDENTIFIKASI ASET SNVT IRIGASI ANDALAN DIY,2006,Irigasi,-7.767280629,110.4073849
PENGEMBANGAN SISTEM INFORMASI MANAJEMEN,2006,Irigasi,-7.767280629,110.4073849
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI D.I. SIDORAHARJO CS KABUPATEN BANTUL,2005,Irigasi,-7.825466484,110.4110165
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2005,Irigasi,-7.864067535,110.4139336
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGASI D.I. SIDORAHARJO CS KABUPATEN BANTUL,2005,Irigasi,-7.815179684,110.4169301
PEKERJAAN IDENTIFIKASI DAN INVENTARISASI DAERAH IRIGASI KAB. SLEMAN DAN KAB. KULON PROGO PROPINSI DIY,2005,Irigasi,-7.662180745,110.4169617
PERENCANAAN REHABILITASI JARINGAN IRIGASI DAERAH IRIGASI GLENDONGAN CS. 300 HA,2006,Irigasi,-7.77711077,110.4196817
PEKERJAAN PERENCANAAN JARINGAN IRIGASI DI SOGOL CS ,2003,irigasi,-7.657212138,110.4230333
PEKERJAAN PERENCANAAN REHABILITASI JARINGAN IRIGSI D.I PULOWATU DAN D.I PATUK,2005,Irigasi,-7.59889287,110.4245921
PERENCANAAN REHABILITASI JARINGAN IRIGASI DAERAH IRIGASI GLENDONGAN CS. 300 HA,2006,Irigasi,-7.84252336,110.4248281
PERENCANAAN REHABILITASI JARINGAN IRIGASI DAERAH IRIGASI GLENDONGAN CS. 300 HA,2006,Irigasi,-7.845505424,110.4252247
PEKERJAAN SID D.I. KARANG 200 HA DI KABUPATEN GUNUNG KIDUL ,2007,Irigasi,-7.938387425,110.5243661
IDENTIFIKASI DAN INVENTARISASI DAERAH IRIGASI KABUPATEN BANTUL DAN GUNUNG KIDUL,2006,Irigasi,-7.862763823,110.5390293
PERENCANAAN IRIGASI GUNUNG KIDUL,2000,Irigasi,-7.988937467,110.5725792
STUDI KEBUTUHAN OP JARINGAN IRIGASI   DIY,2006,Irigasi,-7.966045841,110.7134675
PEKERJAAN DESAIN REHABILITASI JARINGAN IRIGASI BENDUNG-BENDUNG SUPLESI KABUPATEN BANTUL,2004,Irigasi,-7.805633418,110.4218618
KEGIATAN PENDAMPINGAN INTEGRATED PARTICIPATORY DEVELOPMENT AND MANAGEMENT OF IRRIGATION PROGRAM,2022,Irigasi,-7.53,109.167
STUDI KELAYAKAN SUPLESI DI SERAYU,2017,Irigasi,-7.535,109.205
DD REHABILITASI JARINGAN IRIGASI D.I. KALIBAWANG,2022,Irigasi,-7.538,109.676
DD REHAB DI. SINGOMERTO,2017,Irigasi,-7.3881,109.7425
PSETK,2021,Irigasi,-7.8083,109.9667
STUDI AMDAL DAN LARAP QUARRY LOANO,2020,Irigasi,-7.641,110.013
DD REHAB JARINGAN IRIGASI DI. KEDUNGPUTRI,2017,Irigasi,-7.695,110.035
REVIEW DESAIN KAWASAN DI. BENER,2022,Irigasi,-7.657,110.24
DLH DI. TINGAL,2020,Irigasi,-7.283073,110.225980
SID JIAT WS POS,2020,Irigasi,-7.9653,110.6036
REHABILITASI SYPHON DI. SERAYU,2022,Irigasi,-7.588895,109.14289
REVIEW DESAIN JARINGAN IRIGASI DI. SLINGA,2018,Irigasi,-7.3902,109.3874
REVIEW DOKUMEN LINGKUNGAN HIDUP DAN LARAP JARINGAN IRIGASI DI SLINGA,2019,Irigasi,-7.36278,109.39056
SID DI. KEWENANGAN,2018,Irigasi,-7.52,109.45
REVIEW DD DI. SEMPOR,2021,Irigasi,-7.538,109.492
DD DI. SINGOMERTO,2017,Irigasi,-7.39861,109.74389
DD REHABILITASI DI. SINGOMERTO,2018,Irigasi,-7.3986,109.7439
SID REHABILITASI DI. KEWENANGAN,2018,Irigasi,-7.47,109.84
PENYUSUNAN PSETK DI. KEWENANGAN PUSAT,2019,Irigasi,-7.808333,109.966667
DD REHAB JARINGAN IRIGASI DI. KARANGTALUN,2017,Irigasi,-7.7379,110.2342
SISTEM DI. KALIBAWANG (LANJUTAN),2017,Irigasi,-7.665657,110.264259
DESAIN PEMBANGUNAN JARINGAN IRIGASI DI TINGAL,2019,Irigasi,-7.279241666,110.2305444
PEKERJAAN STUDI ALIH FUNGSI LAHAN IRIGASI DI PROPINSI DIY,2004,Irigasi,-7.7867,110.35606
DD REHABILITASI JARINGAN IRIGASI DI TAJUM ,2016,Irigasi ,-7.483687004,109.065818
DD KONSERVASI TERPADU TAJUM DAN LOGAWA ,2012,Irigasi ,-7.55126464,109.1660117
PERENCANAAN REHABILITASI D.I. SERAYU TAHAP I,2009,Irigasi ,-7.526481575,109.2004738
MONEV SISTEM IRIGASI BENDUNG GERAK SERAYU ,2011,Irigasi ,-7.525086007,109.2005137
DD REHAB DI SERAYU,2014,Irigasi ,-7.561995065,109.2011858
PERENCANAAN REHABILITASI D.I. SERAYU TAHAP II ,2011,Irigasi ,-7.501139839,109.21161
MONEV OP IRIGASI WS SERAYU BOGOWONTO ,2011,Irigasi ,-7.500569818,109.2507112
DD PENGEMBANGAN D.I. SLINGA (LANJUTAN),2011,Irigasi ,-7.360682247,109.384222
DD PENGEMBANGAN DI SLINGA ,2014,Irigasi ,-7.360595704,109.3842243
DD DI SEMPOR ,2014,Irigasi ,-7.567180933,109.4846201
DD REHABILITASI DI SEMPOR 2016 ,2016,Irigasi ,-7.566514994,109.486824
DD REHAB DI BANJARCAHYANA ,2015,Irigasi ,-7.389761842,109.6842636
PERENCANAAN REHABILITASI D.I. SINGOMERTO TAHAP I ,2009,Irigasi ,-7.3879614,109.7426944
PERENCANAAN REHABILITASI D.I. SINGOMERTO TAHAP I. PEKERJAAN KONSULTASI YANG DITANGANI OLEH PT. CIPTA RENCANA SEMARANG,2009,Irigasi ,-7.388142509,109.7427257
DD REHAB DI WADASLINTANG ,2015,Irigasi ,-7.601673042,109.7771924
DD REHAB DI WADASLINTANG ,2014,Irigasi ,-7.60971729,109.7797904
DD REHAB JARIGAN IRIGASI WADASLINTANG ,2016,Irigasi ,-7.611880598,109.7864691
DD REHAB JARINGAN IRIGASI DI BORO ,2016,Irigasi ,-7.726474241,110.0063768
DD REHAB DI BORO ,2014,Irigasi ,-7.726562895,110.0071205
DD REHAB JARINGAN IRIGASI DI KEDUNGPUTRI ,2016,Irigasi ,-7.686853827,110.036655
REVIEW DESAIN DI PROGO PISTAN ,2015,Irigasi ,-7.228585975,110.1206524
DESAIN REHAB DI PROGOMANGGIS ,2015,Irigasi ,-7.509659412,110.2096838
PERENCANAAN REHABILITASI D.I. SISTEM KALIBAWANG TAHAP II 3.036 HA,2008,Irigasi ,-7.6732,110.2369
DD REHAB JARINGAN IRIGASI DI KARANGTALUN ,2016,Irigasi ,-7.751297703,110.2618677
PAI 2012 ,2012,Irigasi ,-7.658561533,110.2636705
